Row Labels,Sum of Valuation
2/5/2014,1509680
2/6/2014,74397
2/7/2014,32163
2/10/2014,46811
2/11/2014,663917
2/12/2014,520870
2/13/2014,500438
2/14/2014,60467
2/18/2014,178650
2/19/2014,162402.77
2/20/2014,345560
2/21/2014,14775
2/24/2014,93880
2/25/2014,842309.97
2/26/2014,381072
2/27/2014,412897
2/28/2014,1135092
3/3/2014,298733
3/4/2014,548723
3/5/2014,54984.01
3/6/2014,65075
3/7/2014,136583
3/10/2014,355782
3/11/2014,75815
3/12/2014,64408.32
3/13/2014,91319
3/14/2014,190952
3/15/2014,0
3/17/2014,2059447
3/18/2014,159788
3/19/2014,194322
3/20/2014,36516
3/21/2014,233818.63
3/24/2014,311173
3/25/2014,568625
3/26/2014,144788
3/27/2014,43188.96
3/28/2014,537253
3/31/2014,289250
4/1/2014,5723296
4/2/2014,156541
4/3/2014,346250
4/4/2014,219893
4/7/2014,136300
4/8/2014,56962
4/9/2014,288920
4/10/2014,877309
4/11/2014,85632
4/14/2014,458188.43
4/15/2014,42348
4/16/2014,7739556.93
4/17/2014,128751.14
4/18/2014,431874
4/21/2014,345551
4/22/2014,1602444
4/23/2014,385970
4/24/2014,50100
4/25/2014,265846
4/26/2014,0
4/27/2014,0
4/28/2014,291198
4/29/2014,247147
4/30/2014,637864
5/1/2014,495217
5/2/2014,73488
5/5/2014,59500
5/6/2014,564928.86
5/7/2014,589739
5/8/2014,81050
5/9/2014,1425200
5/11/2014,0
5/12/2014,462846
5/13/2014,354670
5/14/2014,591614
5/15/2014,205453.55
5/16/2014,512697.94
5/17/2014,0
5/19/2014,435630
5/20/2014,1564121.72
5/21/2014,1345643
5/22/2014,1152995
5/23/2014,4306305
5/26/2014,0
5/27/2014,684330
5/28/2014,5101369.56
5/29/2014,312003
5/30/2014,10171228
5/31/2014,0
6/2/2014,328284.95
6/3/2014,735917
6/4/2014,537925
6/5/2014,432626.12
6/6/2014,182867.66
6/9/2014,1274989
6/10/2014,490168
6/11/2014,100237.46
6/12/2014,853769
6/13/2014,685409
6/14/2014,0
6/16/2014,509819
6/17/2014,8408444
6/18/2014,244487.04
6/19/2014,370558.45
6/20/2014,2511798
6/23/2014,1326237
6/24/2014,368969
6/25/2014,63113.68
6/26/2014,680885
6/27/2014,1460744
6/30/2014,800675
7/1/2014,1171100
7/2/2014,747197.72
7/3/2014,7014021
7/7/2014,523700
7/8/2014,113300
7/9/2014,455503
7/10/2014,1640445
7/11/2014,1256589
7/14/2014,594644
7/15/2014,356432
7/16/2014,231785
7/17/2014,787780
7/18/2014,827947
7/21/2014,165234
7/22/2014,416400
7/23/2014,876458
7/24/2014,631732
7/25/2014,188390.5
7/28/2014,465500
7/29/2014,276905.35
7/30/2014,583231
7/31/2014,218975
8/1/2014,522293
8/4/2014,192706.71
8/5/2014,311344
8/6/2014,400060
8/7/2014,926072
8/8/2014,538062.53
8/11/2014,357949.4
8/12/2014,1108572
8/13/2014,4470550
8/14/2014,1570168.33
8/15/2014,811500
8/16/2014,0
8/17/2014,0
8/18/2014,277976
8/19/2014,84320
8/20/2014,316320.58
8/21/2014,500958
8/22/2014,228585
8/25/2014,247494
8/26/2014,403539.24
8/27/2014,846045
8/28/2014,437025
8/29/2014,236564
9/2/2014,951277
9/3/2014,189600
9/4/2014,415024.16
9/5/2014,354095
9/6/2014,0
9/8/2014,275307.41
