TAX_ID,Lat,Lon,NonResAssets_CombinedCode,CODEAB_CombinedCode,Entity2,Entity_Category,ENTITY,Status
31150005200000040020000000,43.03633614,-76.12523401,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000130090000000,43.03670218,-76.12505387,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000160020000000,43.03833163,-76.12477192,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000040130000000,43.03544126,-76.1244556,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000040170000000,43.0350497,-76.12442859,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000040160000000,43.03511182,-76.12441151,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000040190000000,43.03479713,-76.12439723,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000040200000000,43.03467752,-76.12437152,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000040230000000,43.0343823,-76.12434546,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000110030000000,43.0338521,-76.12431148,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000110040000000,43.03372337,-76.12428517,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000110060000000,43.03350613,-76.12427899,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000110090000000,43.03319168,-76.1242677,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000110100000000,43.03307733,-76.1242627,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000120170000000,43.03739491,-76.12423116,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
