Row Labels,Affordable Housing,Alcohol Commercial,Auto Commercial,Banks and Lending,Care Commercial,Community Safety,Convenience Commercial,Education,Entertainment,Food Commercial,Gasoline Commercial,Health and Wellness,Hotel and Motel,Industrial,Infrastructure,Legal,Manufacturing,Mixed Use,Office Space,Public Space and Services,Religious,Residential,Retail Commercial,Shopping Center,Storage Commercial,Vacant Building,Grand Total,Population_16Plus,MOE_Population_16Plus,Population_LaborForce,MOE_Population_LaborForce,Population_Employed,MOE_Population_Employed,UnemploymentRate,MOE_UnemploymentRate,Households_Total,MedianIncome_dollars,MOE_MedianIncome_dollars,MeanIncome_dollars,MOE_MeanIncome_dollars
44.00,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.82,0,0,0,0,1,1956,202,0.55,0.07,0.53,0.07,0.04,0.03,637,19844,8884,60753,10390
45.00,0.05,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0.92,0,0,0,0,1,3687,442,0.65,0.09,0.62,0.08,0.05,0.03,1503,48380,13909,60331,7473
46.00,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,1,4479,327,0.59,0.05,0.55,0.06,0.08,0.04,1984,73000,20521,100256,17979
48.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,1,1300,124,0.61,0.07,0.6,0.07,0.02,0.02,664,65278,11819,75381,7083
49.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.99,0,0,0,0,1,1018,133,0.54,0.08,0.5,0.09,0.07,0.06,531,39688,11871,55202,9440
50.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,1,2139,145,0.79,0.05,0.71,0.05,0.1,0.04,1064,66371,8683,84146,9067
51.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.95,0,0,0,0.02,1,1576,171,0.52,0.06,0.44,0.06,0.16,0.07,840,24394,6017,34822,4493
52.00,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0.01,0.93,0,0,0,0.01,1,1492,223,0.49,0.06,0.36,0.06,0.26,0.09,668,22708,5034,34021,6712
53.00,0.01,0,0.01,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.86,0,0,0,0.02,1,1212,163,0.42,0.08,0.31,0.07,0.25,0.1,554,21382,5436,29725,5156
54.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.94,0,0,0,0.01,1,2096,168,0.53,0.07,0.37,0.07,0.3,0.1,873,29938,9913,49676,20160
