OriginIDGen,DestIDGen,OriginIDChar,DestIDChar,D_TwelveAM.Time,D_TwelveAM.Distance,T_TwelveAM.Time,T_TwelveAM.Distance,D_OneAM.Time,D_OneAM.Distance,T_OneAM.Time,T_OneAM.Distance,D_TwoAM.Time,D_TwoAM.Distance,T_TwoAM.Time,T_TwoAM.Distance,D_ThreeAM.Time,D_ThreeAM.Distance,T_ThreeAM.Time,T_ThreeAM.Distance,D_FourAM.Time,D_FourAM.Distance,T_FourAM.Time,T_FourAM.Distance,D_WeekDay_Winter.D_FivePM.Time,D_WeekDay_Winter.D_FivePM.Distance,T_FiveAM.Time,T_FiveAM.Distance,D_SixAM.Time,D_SixAM.Distance,T_SixAM.Time,T_SixAM.Distance,D_SevenAM.Time,D_SevenAM.Distance,T_SevenAM.Time,T_SevenAM.Distance,D_EightAM.Time,D_EightAM.Distance,T_EightAM.Time,T_EightAM.Distance,D_NineAM.Time,D_NineAM.Distance,T_NineAM.Time,T_NineAM.Distance,D_TenAM.Time,D_TenAM.Distance,T_TenAM.Time,T_TenAM.Distance,D_ElevenAM.Time,D_ElevenAM.Distance,T_ElevenAM.Time,T_ElevenAM.Distance,D_TwelvePM.Time,D_TwelvePM.Distance,T_TwelvePM.Time,T_TwelvePM.Distance,D_OnePM.Time,D_OnePM.Distance,T_OnePM.Time,T_OnePM.Distance,D_TwoPM.Time,D_TwoPM.Distance,T_TwoPM.Time,T_TwoPM.Distance,D_ThreePM.Time,D_ThreePM.Distance,T_ThreePM.Time,T_ThreePM.Distance,D_FourPM.Time,D_FourPM.Distance,T_FourPM.Time,T_FourPM.Distance,D_WeekDay_Winter_A.D_FivePM.Time,D_WeekDay_Winter_A.D_FivePM.Distance,T_FivePM.Time,T_FivePM.Distance,D_SixPM.Time,D_SixPM.Distance,T_SixPM.Time,T_SixPM.Distance,D_SevenPM.Time,D_SevenPM.Distance,T_SevenPM.Time,T_SevenPM.Distance,D_EightPM.Time,D_EightPM.Distance,T_EightPM.Time,T_EightPM.Distance,D_NinePM.Time,D_NinePM.Distance,T_NinePM.Time,T_NinePM.Distance,D_TenPM.Time,D_TenPM.Distance,T_TenPM.Time,T_TenPM.Distance,D_ElevenPM.Time,D_ElevenPM.Distance,T_ElevenPM.Time,T_ElevenPM.Distance
43.053732067+-76.0958973451,43.0479517596+-76.1505944348,43.053732067+-76.0958973451,43.0479517596+-76.1505944348,10.72,4.91,24.30,3.25,643,7896,1458,5238,619,7896,1458,5238,607,7896,2028,6203,616,7896,1838,6203,667,7896,3487,4704,673,7896,3487,4704,626,7896,3487,4704,596,7896,3487,4704,603,7896,3487,4704,608,7896,2092,6423,602,7896,1264,5238,597,7896,1993,6203,641,7896,1264,5238,648,7896,1458,5238,647,7896,1458,5238,656,7896,1458,5238,667,7896,2028,6203,674,7896,1458,5238,678,7896,1458,5238,692,7896,1458,5238,673,7896,1458,5238,687,7896,1458,5238,666,7896,1458,5238
43.0360702922+-76.1800254115,43.0479517596+-76.1505944348,43.0360702922+-76.1800254115,43.0479517596+-76.1505944348,8.75,1.98,19.30,2.22,520,3179,1696,4274,553,3179,2372,3179,539,3179,2372,3179,531,3179,1562,4160,572,3179,2372,3179,524,3179,2372,3179,496,3179,2372,3179,514,3179,2372,3179,504,3179,2372,3179,498,3179,1108,4251,505,3179,1024,4064,525,3179,1298,4250,573,3179,1024,4064,551,3179,1876,4274,550,3179,1435,4080,560,3179,1435,4080,572,3179,1435,4080,555,3179,1876,4274,548,3179,1435,4080,589,3179,1435,4080,603,3179,918,3817,571,3179,1576,4274,555,3179,2372,3179
43.0369023267+-76.1664443518,43.0479517596+-76.1505944348,43.0369023267+-76.1664443518,43.0479517596+-76.1505944348,7.42,1.35,18.33,1.44,442,2174,1490,2006,431,2174,1490,2006,442,2174,1132,2764,417,2174,1490,2006,482,2174,1490,2006,418,2174,1490,2006,422,2174,1490,2006,477,2174,1490,2006,418,2174,1490,2006,422,2174,805,2831,400,2174,894,2815,426,2174,921,2831,473,2174,894,2815,457,2174,1668,2532,464,2174,1266,2831,474,2174,1490,2006,482,2174,1583,2891,478,2174,1490,2006,467,2174,1266,2831,491,2174,689,2445,497,2174,1490,2006,476,2174,1283,2891,456,2174,1431,2854
43.0415160162+-76.1627462921,43.0479517596+-76.1505944348,43.0415160162+-76.1627462921,43.0479517596+-76.1505944348,5.27,0.88,17.82,0.88,306,1423,1069,1423,323,1423,1069,1423,318,1423,926,2215,312,1423,1069,1423,359,1423,1069,1423,307,1423,1069,1423,296,1423,1069,1423,304,1423,1069,1423,308,1423,1069,1423,301,1423,1069,1423,292,1423,709,2266,304,1423,736,2283,352,1423,731,2350,336,1423,1069,1423,337,1423,1069,1423,350,1423,1069,1423,359,1423,1069,1423,341,1423,1069,1423,333,1423,1060,2282,356,1423,795,1941,362,1423,1069,1423,348,1423,950,2350,337,1423,1205,2305
43.038603903+-76.149450719,43.0479517596+-76.1505944348,43.038603903+-76.149450719,43.0479517596+-76.1505944348,3.77,0.66,13.07,0.66,208,1062,784,1062,226,1062,784,1062,212,1062,784,1062,209,1062,784,1062,257,1062,784,1062,200,1062,784,1062,193,1062,784,1062,214,1062,784,1062,222,1062,784,1062,234,1062,784,1062,207,1062,419,1220,222,1062,496,1255,244,1062,700,1199,245,1062,697,1215,244,1062,657,1214,281,1062,796,1255,257,1062,796,1255,263,1062,784,1062,249,1062,675,1213,245,1062,784,1062,257,1062,796,1255,272,1062,496,1255,243,1062,645,1153
43.0388020855+-76.1403744968,43.0479517596+-76.1505944348,43.0388020855+-76.1403744968,43.0479517596+-76.1505944348,6.35,1.13,22.23,1.10,384,1822,1334,1775,375,1822,1334,1775,377,1822,1179,1789,376,1822,1334,1775,419,1822,1334,1775,342,1822,1334,1775,374,1822,1334,1775,354,1822,1334,1775,373,1822,1334,1775,361,1822,1111,2195,357,1822,766,2354,375,1822,766,2354,424,1822,948,2442,414,1822,1321,1791,414,1822,1368,2953,420,1822,1027,3103,419,1822,1111,2195,411,1822,1027,3103,405,1822,1182,1789,423,1822,1027,3103,478,1822,1059,2194,479,1856,1027,3103,407,1822,1066,2354
43.0399490964+-76.1349965685,43.0479517596+-76.1505944348,43.0399490964+-76.1349965685,43.0479517596+-76.1505944348,7.58,1.31,18.02,1.60,452,2110,1620,2240,447,2110,1620,2240,432,2110,941,2245,444,2110,1081,2582,518,2110,1019,2582,417,2110,1620,2240,411,2110,1620,2240,420,2110,1620,2240,443,2110,1620,2240,422,2110,1620,2240,412,2110,1007,3562,443,2110,913,2640,499,2110,856,2640,495,2110,1081,2582,496,2110,953,2733,504,2110,1081,2582,518,2110,953,2733,506,2110,953,2733,506,2110,793,2748,506,2110,913,2640,555,2110,861,2650,568,2110,1005,3546,478,2110,952,2245
43.0370925339+-76.1264392795,43.0479517596+-76.1505944348,43.0370925339+-76.1264392795,43.0479517596+-76.1505944348,8.72,1.92,20.03,2.21,523,3087,1668,3669,515,3087,2290,3087,516,3087,2290,3087,505,3087,1668,3669,556,3087,1581,3669,470,3087,2290,3087,480,3087,2290,3087,490,3087,2290,3087,492,3087,2290,3087,471,3087,1181,3955,460,3087,1178,4876,490,3087,1178,4876,535,3087,1061,3955,541,3087,1390,4467,535,3087,1181,3955,552,3087,1390,4467,556,3087,1181,3955,555,3087,1390,4467,552,3087,1151,3560,565,3087,1136,3560,606,3087,1197,3955,646,3087,1390,4467,553,3087,1193,3560
43.0359149739+-76.1185053167,43.0479517596+-76.1505944348,43.0359149739+-76.1185053167,43.0479517596+-76.1505944348,10.22,2.43,25.68,2.53,610,3913,1541,4064,614,3913,2608,3574,601,3913,2608,3574,591,3913,1541,4064,652,3913,1421,4064,548,3913,2608,3574,547,3913,2608,3574,564,3913,2608,3574,566,3913,2608,3574,542,3913,1392,4626,543,3913,1509,5560,594,3913,1509,5560,648,3913,1392,4626,643,3913,1392,4626,640,3913,1499,4243,665,3913,1392,4626,652,3913,1392,4626,645,3913,1541,4064,650,3913,2005,4751,658,3913,1478,4243,658,3817,1408,4626,697,3817,1656,4085,640,3913,1541,4064
43.0400354236+-76.0981462376,43.0479517596+-76.1505944348,43.0400354236+-76.0981462376,43.0479517596+-76.1505944348,12.47,3.17,31.47,3.21,737,5098,1888,5167,725,5098,1888,5167,712,5098,1888,5167,729,5098,1888,5167,798,5098,3413,4609,792,5636,3413,4609,715,5098,3413,4609,706,5098,3413,4609,701,5098,3413,4609,713,5098,2107,8018,708,5098,1872,5167,719,5098,1872,5167,779,5098,2107,8018,781,5098,2191,8018,766,5098,1888,5167,759,5098,2222,8018,798,5098,2222,8018,798,5098,1888,5167,810,5098,1888,5167,805,5098,1888,5167,769,5098,1872,5167,786,5098,1888,5167,765,5098,3223,15443
