Census Tract,Academic,Activities,Administration,Adult Care Facilities,Adult Day Care,Adult Enriched Housing,Adult Entertainment (X-Rated),Air Pollution / Air Quality Station,American Legion,"Animal Shelter, Vet",Apartments,Apts In Multi Use Bldg,Athletic Fields,Auditorium,Authority Garage,Auto Dealership,Auto Parts,Auto Related Services,Auto Rental,Auto Towing,Bagel/Donut Shop,Bakery,Bank,Bar,Bar (X-Rated),Bed & Breakfast,Benevolent Org,Body Shop,Bowling Alley,Bus Transfer  Hub,Business School,Car Wash,Cell Facility On Bldg,Cell Facility On Other Antenna,Cell Facility On Water Tower,Cell Tower,Cemetery,Chapel,Chinese,Chiropractic,Church,Church Hall,City Garage,City Government,City Park (Community Park),City Park (Downtown Park),City Park (Medians),City Park (Natural Area),City Park (Neighborhood Park),City Park (Open Space),City Park (Playground),Cnyrta Garage,Coffee,Cold Storage,College,Community Center,Community Police Center,Community Residence,Condo,Convenience Store,Convent,Converted House,Corrections,Country Club,County Garage,County Govt,County Neighborhood Office,County Park,Credit Union,Day Care,Deli,Dentist Office,Diner,Dining Hall,District Office,Doctor Office In House,Dorm,Drug Store,Dry Cleaner,Education (Non-Instructional),Educational Facility,El,Electric Facilty,"Electric, Gas Facility",Elks,Ems,Ems Staging Area,Ethnic Foods,Faculty Residence,Fast Food,Federal Govt,Feed Sales Outlet,Field Station,"Fire Dept (Admin, Training Etc)",Fire House,Fish,Fitness,Floatable Facility,Flood Control,Frat/Sor House,"Fuel Storage, Distribution",Funeral Home,Furniture,Gas Station,Glass,Government,Health Facility,Heavy Equipment,High,Home Improvement,Homeless Shelter,Honeywell Lake Project,Hospital,Hospitality House (Non-Profit),Hotel,Ice Cream,Inactive Or Historic Cemetery,Indoor Parking Garage,Indoor Skating Rink,Indoor Sports,Infirmary,Jewelry,Junkyard,Large Retail Store,Laundromat,Law Office,Lawn And Snow Removal,Library,Library (Ocpl Member),Limousine Service,Liquor Store,Manufacturing,Masons,Mausoleum,"Meats, Fish",Miscellaneous Public Space,Moose,Mosque,Motel,Motorcycles,Movie Theatre,"Mufflers, Brakes",Multi Use Building,Museum,Natural Gas Facility,Neighborhood Shopping Center,Nursing Home,Nys Community Service,Off Campus Instructional,Office Bldg,Office Park,Office Supplies,Oil Change,Optometrist/Eye Care,Org / Management,Other Health Facility,Outdoor Parking Lot,Outdoor Sports,Painting,Park,Pharmacy,Physical Plant,Physical Therapy,Pizza,Police Station,Post Office,Private School Bus,Professional Bldg,Professional Bldg (Medical),Public Authority,Public Safety,Public Safety Administrative,Pump House,Pump Stations,Radio,Radio Broadcast Tower,Radio Station,Railroad Facility,Recruiting Office,Rectory,Regional Shopping Center,Religious Residence,Religious School,Repair,Reservoir,Rest Home (Non-Medical),Restaurant,Rooming House/ Sro,School,School Bus Garage,Self Storage,Senior,Senior And Mixed,Sfd Virtual Sta,Single Family House,Small Retail Store,Small Single-Use Bldg,"Small, Multi-Use Bldg",Social Organization,Social Store,Special School,Special Social,Spiritual Center,Sporting Goods (Including Guns),Stadium,State Govt,State Park,STJ HOSP,Storefront  Church,Student Housing,Sub Shop,Supermarkets,Swimming Pool,Synagogue,Take Out Food,Telephone Facility,Theatre,Three-Family House,Tires,Town/Vill/Park,Transmission,Treatment Plants,Truck Repair,Truck Stop,Truck Tires,Trucking Terminal,Trucks Only,Tv Station,Two-Family House,Used Car Only,Vacant Bldg,Vfw,Warehouse,Water Tank,Wholesale Club,Ymca,Youth Home,Zoo,Bus Shelter,Grand Total,Population_16Plus,MOE_Population_16Plus,Population_LaborForce,MOE_Population_LaborForce,Population_Employed,MOE_Population_Employed,UnemploymentRate,MOE_UnemploymentRate,Households_Total,MedianIncome_dollars,MOE_MedianIncome_dollars,MeanIncome_dollars,MOE_MeanIncome_dollars
40,0,0,0,0,0,0,0,0,1,0,104,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,125,4,14,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,123,0,12,0,2,0,0,0,0,0,0,452,1201,260,54.1%,10.9%,46.7%,10.1%,13.7%,9.0%,529," $29,438.00 "," $12,507.00 "," $40,729.00 "," $11,965.00 "
42,0,0,0,0,0,0,0,0,0,0,585,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,50,3,11,0,4,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29,0,9,0,8,0,0,0,0,0,5,767,1444,121,55.3%,5.9%,33.7%,4.6%,39.0%,8.2%,933," $11,744.00 "," $1,463.00 "," $16,344.00 "," $2,516.00 "
43.01,3,0,2,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,159,1512,191,33.9%,8.0%,26.7%,7.6%,21.3%,9.2%,528," $9,268.00 "," $1,054.00 "," $23,893.00 "," $14,003.00 "
43.02,19,10,3,0,0,0,0,0,0,0,47,1,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,6,0,2,0,0,0,0,0,2,0,0,2,2,3,0,1,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,5,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11,9,0,0,0,1,0,0,2,6,9,3,0,1,1,0,1,0,1,0,0,0,0,3,1,0,0,1,2,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,8,257,6678,532,31.6%,3.8%,24.0%,3.2%,23.8%,6.6%,475," $9,171.00 "," $1,324.00 "," $12,762.00 "," $2,994.00 "
44,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,1,0,0,0,0,0,617,1956,202,54.9%,6.8%,52.7%,6.6%,3.9%,3.0%,637," $19,844.00 "," $8,884.00 "," $60,753.00 "," $10,390.00 "
45,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78,0,0,0,0,0,0,811,3,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,75,0,0,0,0,0,0,0,0,0,0,515,0,3,0,1,0,0,0,0,0,0,1547,3687,442,65.1%,8.6%,61.5%,8.3%,5.1%,3.2%,1503," $48,380.00 "," $13,909.00 "," $60,331.00 "," $7,473.00 "
46,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1752,2,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,100,0,5,0,0,0,0,0,2,0,1,1951,4479,327,59.2%,5.3%,54.5%,5.9%,7.8%,3.5%,1984," $73,000.00 "," $20,521.00 "," $100,256.00 "," $17,979.00 "
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,623,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,674,1300,124,61.4%,7.1%,60.3%,7.0%,1.8%,2.1%,664," $65,278.00 "," $11,819.00 "," $75,381.00 "," $7,083.00 "
49,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,441,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,597,1018,133,53.8%,8.0%,50.3%,8.6%,6.6%,6.2%,531," $39,688.00 "," $11,871.00 "," $55,202.00 "," $9,440.00 "
50,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,740,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,1014,2139,145,79.1%,5.0%,71.4%,4.9%,9.6%,3.5%,1064," $66,371.00 "," $8,683.00 "," $84,146.00 "," $9,067.00 "
51,0,0,0,0,0,0,0,0,0,0,33,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,536,4,4,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,280,0,15,0,0,0,0,0,0,0,0,913,1576,171,52.3%,6.1%,43.8%,5.5%,16.4%,6.5%,840," $24,394.00 "," $6,017.00 "," $34,822.00 "," $4,493.00 "
52,0,0,0,0,0,0,0,0,0,0,27,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,333,1,7,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,306,0,6,0,0,0,0,0,0,0,1,755,1492,223,48.9%,5.9%,36.4%,6.4%,25.5%,9.1%,668," $22,708.00 "," $5,034.00 "," $34,021.00 "," $6,712.00 "
53,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,162,0,4,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,179,0,10,0,2,0,0,0,0,0,1,458,1212,163,41.5%,7.5%,31.2%,6.7%,24.9%,9.8%,554," $21,382.00 "," $5,436.00 "," $29,725.00 "," $5,156.00 "
54,0,0,0,0,0,0,0,0,0,0,39,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,1,456,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,59,0,0,0,0,0,0,0,0,0,0,414,0,14,0,2,0,0,0,0,0,2,1034,2096,168,53.0%,6.7%,37.3%,7.4%,29.6%,10.3%,873," $29,938.00 "," $9,913.00 "," $49,676.00 "," $20,160.00 "
55,0,1,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,1,0,1,0,475,1,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,112,0,12,0,28,0,0,0,0,0,0,894,3115,318,62.5%,6.5%,58.3%,6.6%,6.8%,4.1%,1780," $28,953.00 "," $1,948.00 "," $33,992.00 "," $4,493.00 "
56.01,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,733,1205,84,72.0%,5.7%,68.6%,6.0%,4.6%,2.9%,690," $79,070.00 "," $5,741.00 "," $101,697.00 "," $22,190.00 "
56.02,0,4,1,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,3725,441,37.2%,4.0%,31.5%,3.8%,15.3%,4.6%,198," $13,304.00 "," $15,193.00 "," $38,385.00 "," $15,255.00 "
57,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,574,2,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,149,0,9,0,0,0,0,0,0,0,0,784,1352,141,62.7%,7.9%,54.6%,8.1%,13.0%,5.2%,723," $36,354.00 "," $11,621.00 "," $44,506.00 "," $5,753.00 "
58,0,0,0,0,0,0,0,0,0,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,545,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,322,0,1,0,1,0,0,0,0,0,0,955,1767,197,54.2%,5.9%,42.6%,5.9%,21.3%,7.8%,836," $29,014.00 "," $2,913.00 "," $35,750.00 "," $5,385.00 "
59,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,393,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,220,0,9,0,0,0,0,0,0,0,0,671,1327,180,50.1%,8.0%,35.8%,7.4%,28.6%,10.4%,559," $29,297.00 "," $9,934.00 "," $30,564.00 "," $5,923.00 "
60,0,0,0,0,0,0,0,0,1,0,129,6,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,2,0,1,0,0,0,0,0,1148,2,11,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,135,0,5,0,2,0,0,0,0,0,1,1495,2865,222,61.5%,5.8%,55.9%,5.9%,8.9%,3.6%,1541," $33,720.00 "," $7,381.00 "," $53,426.00 "," $6,764.00 "
