TAX_ID,Problems,lat,lon
31150009000000030120000000,Potential Lead Paint,-76.19931483,43.02618866
31150011200000010030000000,Potential Lead Paint,-76.1993146,43.05551787
31150011300000130190000000,Potential Lead Paint,-76.19931164,43.05647323
31150011300000110150000000,Potential Lead Paint,-76.1993058,43.05783314
31150009000000030130000000,Potential Lead Paint,-76.19930002,43.02591449
31150011300000100200000000,Potential Lead Paint,-76.19924684,43.05888651
31150009000000090060000000,Potential Lead Paint,-76.19924678,43.02492193
31150011300000120110000000,Potential Lead Paint,-76.19924565,43.05722503
31150009000000030100000000,Potential Lead Paint,-76.19924113,43.02678861
31150011300000120080000000,Potential Lead Paint,-76.19923914,43.05749807
31150011300000130080000000,Potential Lead Paint,-76.19923705,43.05679461
31150011300000100190000000,Potential Lead Paint,-76.19922575,43.05878402
31150011200000010320000000,Potential Lead Paint,-76.19921989,43.05457896
31150011300000100020000000,Potential Lead Paint,-76.19921847,43.05908685
31150011300000130180000000,Potential Lead Paint,-76.19918979,43.05651846
31150009000000030140000000,Potential Lead Paint,-76.19918907,43.02560377
31150009000000100040000000,Potential Lead Paint,-76.19916869,43.02306821
31150009000000100040000000,Potential Lead Paint,-76.19916869,43.02306821
31150011300000100180000000,Potential Lead Paint,-76.19916309,43.05872761
31150009000000040240000000,Potential Lead Paint,-76.19914747,43.02738832
31150011200000010040000000,Potential Lead Paint,-76.19913275,43.05552087
31150011300000130090000000,Potential Lead Paint,-76.19912021,43.05683798
31150011300000100170000000,Potential Lead Paint,-76.19908707,43.05866988
31150011300000120090000000,Potential Lead Paint,-76.1990839,43.05755571
31150011300000130170000000,Potential Lead Paint,-76.19907296,43.05656184
31150011300000100030010000,Potential Lead Paint,-76.19904153,43.05903873
31150011300000120100000000,Potential Lead Paint,-76.19902032,43.05730869
31150011300000100160000000,Potential Lead Paint,-76.19901818,43.05859306
31150009000000090260000000,Potential Lead Paint,-76.19900376,43.02432947
31150011300000130100000000,Potential Lead Paint,-76.19900338,43.05688136
31150011200000010050000000,Potential Lead Paint,-76.19897729,43.05556957
31150011200000010070000000,Potential Lead Paint,-76.19896559,43.05604507
31150011300000130160000000,Potential Lead Paint,-76.19895613,43.05660522
31150009000000090070000000,Potential Lead Paint,-76.1989507,43.02499024
31150011300000100140000000,Potential Lead Paint,-76.19894102,43.05839115
31150011200000160020010000,Potential Lead Paint,-76.19893474,43.05402258
31150011300000100150000000,Potential Lead Paint,-76.19893386,43.05852173
31150011200000010310000000,Potential Lead Paint,-76.19892874,43.054687
31150011300000100050000000,Potential Lead Paint,-76.19887687,43.05896786
31150011200000010080000000,Potential Lead Paint Dilapidated Vacant,-76.19885543,43.05608597
31150011300000100130000000,Potential Lead Paint,-76.19885514,43.05826929
31150011300000130150000000,Potential Lead Paint,-76.19883929,43.05664859
31150011200000160030000000,Potential Lead Paint,-76.19883165,43.05387634
31150011300000130110000000,Potential Lead Paint,-76.19882788,43.0570357
31150009000000040230000000,Potential Lead Paint,-76.19882044,43.02739673
31150011200000010060000000,Potential Lead Paint,-76.19881644,43.05560271
31150011300000130120000000,Potential Lead Paint,-76.19877268,43.0569574
31150011200000010300000000,Potential Lead Paint,-76.19876859,43.05483587
31150011300000100060000000,Potential Lead Paint,-76.19874458,43.05889621
31150011200000150010000000,Potential Lead Paint,-76.19873844,43.0543406
31150011200000160040000000,Potential Lead Paint,-76.19873028,43.05373254
31150011200000010090000000,Potential Lead Paint,-76.19872692,43.05613368
31150011300000130130000000,Potential Lead Paint,-76.19870556,43.05686218
31150011300000060320000000,Potential Lead Paint,-76.19869589,43.05802849
31150009000000040140000000,Potential Lead Paint,-76.19867322,43.02680239
31150011300000100120000000,Potential Lead Paint Vacant,-76.19866215,43.05842824
31150009000000090080000000,Potential Lead Paint,-76.19864809,43.02503341
31150011200000160050000000,Potential Lead Paint,-76.19862719,43.05358629
31150011300000060310000000,Potential Lead Paint,-76.19862716,43.05793099
31150011200000150020000000,Potential Lead Paint,-76.19860605,43.05439079
31150011200000010290000000,Potential Lead Paint,-76.19859752,43.05488649
31150011300000130140000000,Potential Lead Paint,-76.19859667,43.05670771
31150011200000150100000000,Potential Lead Paint,-76.19858577,43.05412401
31150011200000010100000000,Potential Lead Paint,-76.19858004,43.05618821
31150011300000060300000000,Potential Lead Paint,-76.19857533,43.05784254
31150009000000040130000000,Potential Lead Paint,-76.19854521,43.02649187
31150011300000100090000000,Potential Lead Paint,-76.19854418,43.05868234
31150011300000100070000000,Potential Lead Paint,-76.19854254,43.05891044
31150009000000040120000000,Potential Lead Paint,-76.19853042,43.0262177
31150009000000040110000000,Potential Lead Paint,-76.19851563,43.02594354
31150011300000060290000000,Potential Lead Paint,-76.19851519,43.05775723
31150011300000100100000000,Potential Lead Paint Vacant,-76.19851138,43.05855144
31150009000000090250000000,Potential Lead Paint,-76.19850735,43.02399272
31150009000000040100000000,Potential Lead Paint,-76.19850088,43.02565786
31150011300000100110000000,Potential Lead Paint,-76.19849737,43.05842574
31150011300000060280000000,Potential Lead Paint,-76.1984734,43.05766806
31150011200000150030000000,Potential Lead Paint,-76.19847311,43.05444119
31150011200000160070000000,Potential Lead Paint,-76.19846355,43.05335413
31150011200000150090000000,Potential Lead Paint,-76.19845338,43.0541742
31150009000000040220000000,Potential Lead Paint,-76.19844926,43.02742399
31150011300000060010000000,Potential Lead Paint Dilapidated Vacant,-76.19844641,43.05806894
31150009000000090240000000,Potential Lead Paint,-76.19844623,43.02351805
31150011300000060270000000,Potential Lead Paint,-76.19843524,43.05757211
31150011200000160080000000,Potential Lead Paint Vacant,-76.19840685,43.0532737
31150011200000010150000000,Potential Lead Paint,-76.19839624,43.05593047
31150011200000010280000000,Potential Lead Paint,-76.19838821,43.05488836
31150011300000100080000000,Potential Lead Paint,-76.1983683,43.05885909
31150011300000060020000000,Potential Lead Paint Dilapidated Vacant,-76.19835592,43.05792564
31150011200000010120000000,Potential Lead Paint,-76.19834167,43.0563131
31150009000000090090000000,Potential Lead Paint,-76.19834147,43.02505839
31150009000000090230000000,Potential Lead Paint,-76.19833247,43.02317474
31150009000000040150000000,Potential Lead Paint,-76.19833197,43.02681148
31150011200000150080000000,Potential Lead Paint,-76.19832044,43.0542246
31150011200000170010000000,Potential Lead Paint,-76.19831451,43.0537392
31150011200000010160000000,Potential Lead Paint,-76.19831033,43.0558086
31150011300000060260000000,Potential Lead Paint,-76.19830063,43.05748721
31150011300000060030000000,Potential Lead Paint Dilapidated Vacant,-76.19829579,43.05784033
31150011200000010130000000,Potential Lead Paint,-76.1982758,43.05621966
31150011300000060040000000,Potential Lead Paint,-76.19825399,43.05775117
31150011200000010170000000,Potential Lead Paint Dilapidated Vacant,-76.19824075,43.05570988
31150011200000150040000000,Potential Lead Paint,-76.19823667,43.05455488
