objectid,ntm_stop_i,ntm_feed_i,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,Count
84616,84616,66,16950,SedRugSE,Sedgwick Dr & Rugby Rd,,43.06756300000,-76.13279700000,,1
80914,80914,66,8371,JavVntSE,Jamesville Av & Vincent St,,43.02121600000,-76.13276300000,,1
81521,81521,66,17518,RugSedNE,Rugby Rd & Sedgwick Dr,,43.06774200000,-76.13269800000,,1
84038,84038,66,5798,AinBlcNW,Ainsley Dr & Ball Cir,,43.01121600000,-76.13264400000,,1
82918,82918,66,14658,AinBalSW,Ainsley Dr & Ball Cir,,43.01116200000,-76.13249600000,,1
82200,82200,66,5975,EcoLrrNW,E. Colvin St & N Lorraine Ave,,43.02536000000,-76.13246000000,,1
79998,79998,66,10573,EcoLorSW,E Colvin St & Lorraine Ave,,43.02528900000,-76.13238600000,,1
82730,82730,66,8001,UnsBdLSX,University Pl & Bird Library,UNIVERSITY PL & COLLEGE PL,43.03934400000,-76.13236200000,,1
82151,82151,66,8257,UnsBdLNX,University Pl & Bird Library,,43.03941500000,-76.13232500000,,1
85253,85253,66,2166,EgeWalNW,E.Genesee St & Walnut Ave,,43.04695300000,-76.13228800000,,1
85664,85664,66,2120,JamWSYLM,James St & WSYR,,43.06032800000,-76.13224100000,,1
85255,85255,66,2163,EgeWalSW,E.Genesee St & Walnut Ave,,43.04689900000,-76.13223900000,,1
81040,81040,66,350,EfaWalSW,E.Fayette St & Walnut Ave,,43.04842100000,-76.13223600000,,1
81263,81263,66,6570,HeyDehSX,Hawley Ave & Delhi St,,43.05526100000,-76.13212600000,,1
82199,82199,66,5977,EcoNlrSE,E.Colvin St & N.Lorraine Ave,,43.02516300000,-76.13209000000,,1
85230,85230,66,10808,SedHamSW,Sedgwick Dr & Hampshire Rd,,43.06569100000,-76.13204700000,,1
84371,84371,66,347,EfaWalNE,E.Fayette St & Walnut Ave,,43.04846600000,-76.13191500000,,1
81261,81261,66,6572,HeyDehNE,Hawley Ave & Delhi St,,43.05532300000,-76.13186700000,,1
83520,83520,66,16949,SedHamSE,Sedgwick Dr & Hampshir Rd,,43.06573500000,-76.13167700000,,1
81520,81520,66,17519,RugHamSW,Rugby Rd & Hampshire Rd,,43.06780300000,-76.13157400000,,1
80534,80534,66,1686,UnsCoeNE,University Pl & College Pl,,43.03938800000,-76.13151100000,,1
80533,80533,66,1683,CoeSyrLM,College Place,,43.03720300000,-76.13150200000,,1
81051,81051,66,10117,SimColSW,Sims Dr & College Place,,43.03616500000,-76.13141800000,,1
81404,81404,66,6685,GrdWolSW,Grant Blvd & Woodlawn Ter,,43.07262900000,-76.13134400000,,1
81527,81527,66,17517,RugHamNX,Rugby Rd & Hampshire Rd,,43.06785700000,-76.13132700000,,1
82197,82197,66,5971,EcoRbdNE,E.Colvin St & Robert Dr,,43.02492100000,-76.13132600000,,1
80893,80893,66,451,JamDewNE,James St & Dewitt St,,43.06085600000,-76.13127700000,,1
80892,80892,66,450,JamDewSX,James St & Dewitt St,,43.06081100000,-76.13126500000,,1
79844,79844,66,5868,AinGamNE,Ainsley Dr & Game Rd,,43.01124200000,-76.13116400000,,1
81403,81403,66,6684,GrdWolNX,Grant Blvd & Woodlawn Ter,,43.07270000000,-76.13108500000,,1
83967,83967,66,10580,ThuJamSW,Thurber St & Jamesville Ave,,43.01901200000,-76.13096500000,,1
80989,80989,66,1649,JavThuNW,Jamesville Ave & Thurber St,,43.01913700000,-76.13096500000,,1
85251,85251,66,2169,EgeComSW,E.Genesee St & Comstock Ave,,43.04692500000,-76.13091800000,,1
81143,81143,66,8395,Laf218WX,LaFayette Rd & 218 LaFayette Rd,,42.99665900000,-76.13091700000,,1
84095,84095,66,1652,ThuJavNE,Thurber St & Jamesville Ave,,43.01910100000,-76.13080500000,,1
84414,84414,66,11089,NobBld3,Nob Hill Apts Building #3,,42.99757200000,-76.13063200000,,1
85231,85231,66,10809,SedWenSW,Sedgwick Dr & Wendell Ter,,43.06482100000,-76.13050600000,,1
85332,85332,66,5969,EcoHttSW,E.Colvin St & Harriette Ave,,43.02456200000,-76.13050000000,,1
84727,84727,66,51,NobAptLM,Nob Hill Apts Building #4,,42.99645300000,-76.13048600000,,1
83914,83914,66,10927,JamSdgNE,James St & Sedgwick St,,43.06125800000,-76.13045000000,,1
85708,85708,66,6581,HeyElmSW,Hawley Ave & Elm St,,43.05533100000,-76.13043500000,,1
80536,80536,66,14777,JamSedSE,James St & Sedgwick St,,43.06124000000,-76.13038800000,,1
80895,80895,66,453,JamSegSE,James St & Sedgwick Dr,JAMES ST & SEDGWICK DR,43.06124900000,-76.13036300000,,1
82723,82723,66,12554,WavComSW,Waverly Ave & Comstock Ave,,43.04046100000,-76.13031200000,,1
79720,79720,66,10576,JamButNW,Jamesville Ave & Butler St,,43.01834900000,-76.13027600000,,1
84886,84886,66,5928,EcoHttNE,E.Colvin St & Harriette Ave,,43.02451700000,-76.13025300000,,1
83521,83521,66,16948,SedWenSE,Sedgwick Dr & Wendell Ter,,43.06478500000,-76.13024600000,,1
80460,80460,66,6714,BunElmSX,Burnet Ave & Elm St,,43.05207200000,-76.13020600000,,1
81142,81142,66,8394,Laf104WX,LaFayette Rd & 104 Lafayette Rd,,43.00080300000,-76.13018200000,,1
83445,83445,66,6579,HeyElmNE,Hawley Ave & Elm St,,43.05538500000,-76.13017600000,,1
84748,84748,66,6691,GrdWndSW,Grant Blvd & Wendell Ter,,43.07269000000,-76.13014700000,,1
84637,84637,66,17520,RugWenSW,Rugby Rd & Wendell Ter,,43.06762300000,-76.13014300000,,1
84218,84218,66,12555,ComUniNW,Comstock Ave & University Pl,,43.03944900000,-76.13011700000,,1
80605,80605,66,10579,BriIntNE,E Brighton Ave & Intrepid La,,43.00346200000,-76.13010400000,,1
82473,82473,66,11083,BriIntNW,E Brighton Ave & Intrepid La,,43.00338100000,-76.13010400000,,1
80461,80461,66,6712,BunElmNE,Burnet Ave & Elm St,,43.05211700000,-76.12995900000,,1
81884,81884,66,10810,WenRugSE,Wendell Ter & Tugby Rd,,43.06748800000,-76.12995800000,,1
82879,82879,66,11578,SedBraNW,Sedgwick Dr & Brattle Rd,,43.06340600000,-76.12990300000,,1
81405,81405,66,6687,GrdWndNX,Grant Blvd & Wendell Ter,,43.07276200000,-76.12990000000,,1
81037,81037,66,354,EfaPinSW,E.Fayette St & Pine St,,43.04840100000,-76.12989200000,,1
