objectid,ntm_stop_id,ntm_feed_id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
80164,80164,66,9713,BunMapSW,Bunner St & Maple St,BUNNER ST & MAPLE ST,43.451576,-76.487785,
81296,81296,66,16484,S38F11NW,State Hwy 38 & Fire Lane 11,STATE ROUTE 38 & FIRE LANE 11,42.768912,-76.487784,
82979,82979,66,16011,BunMapNE,Bunner St & Maple St,,43.451711,-76.487599,
82498,82498,66,16507,S38F11EX,State Hwy 38 & Fire Lane 11,STATE ROUTE 38 & FIRE LANE 11,42.768823,-76.487575,
81297,81297,66,16485,S38EdgWX,State Hwy 38 & Edgewater Point Rd,,42.768143,-76.487057,
79841,79841,66,16000,OspAlbNW,Oswego Plaza & E Albany St,,43.458036,-76.487013,
82499,82499,66,16506,S38EdgSE,State Hwy 38 & Edgewater Point Rd,,42.76809,-76.48697,
85677,85677,66,15890,OswPlzSX,JC Penny Oswego Plaza,,43.459488,-76.48672,
85830,85830,66,17809,OswPlzNX,JC Penny Oswego Plaza,,43.459515,-76.486708,
82404,82404,66,15997,AlbOspNE,E Albany St & Oswego Plaza,,43.458001,-76.486703,
80361,80361,66,16407,R5R31BNE,State Rte 5 & State Rte 31B,,43.0241,-76.486195,
81634,81634,66,16364,Rt5DodSW,State Rte 5 & Dodier Dr,,43.024361,-76.485481,
82779,82779,66,17383,PrChpLMO,Price Chopper Plaza Rte 104 Osw,GEORGE ST & STATE ROUTE 104,43.462393,-76.48534,
82167,82167,66,15515,OCOLM,OCO Medical Center,,43.4669,-76.485182,
80383,80383,66,9737,104GeoSX,Route 104 & George St,,43.460871,-76.485136,
85831,85831,66,17808,104GeoNW,Route 104 & George St,,43.460907,-76.485099,
83342,83342,66,17974,OswPlzN2,Big Lots Oswego Plaza,,43.460002,-76.48486,
83345,83345,66,17973,OswPlzS2,Big Lots Oswego Plaza,,43.459966,-76.484785,
82259,82259,66,15987,EasMagSX,East Ave & Magnolia Rd,,43.45135,-76.484147,
82980,82980,66,16010,EasMagNE,East Ave & Magnolia Rd,,43.451323,-76.483837,
79842,79842,66,16001,AlbJimSX,E Albany St & Jimmy Shampine Dr,,43.458491,-76.483539,
80360,80360,66,16406,Rt5WheNE,State Rte 5 & Wheeler Rd,,43.025269,-76.483486,
85420,85420,66,15996,AlbJimNE,E Albany St & Jimmy Shampine Dr,,43.458446,-76.483129,
82164,82164,66,15518,GAROSW,Centro Garage Oswego,,43.467925,-76.482889,
80797,80797,66,16629,R31MclSW,State Rte 31 & McLaughlin Rd,,43.066514,-76.482849,
82257,82257,66,15988,EasChrSX,East Ave & Christopher Circle,,43.450985,-76.482371,
82141,82141,66,15775,481ErrNW,Hwy 481 & E River Rd,,43.431645,-76.482255,
