objectid,ntm_stop_i,ntm_feed_i,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
83061,83061,66,6258,CotMphNX,Court St & Maplehurst Ave,,43.08127600000,-76.14118200000
84520,84520,66,6361,GrdGnlNE,Grant Blvd & Greenland Dr,,43.07220700000,-76.14110900000
82906,82906,66,3695,ValPlzLM,Valley Plaza,S SALINA ST & PARKING LOT,43.00863600000,-76.14107100000
84822,84822,66,1395,SsaWlnEX,S.Salina St & W.Lynhurst Ave,S SALINA ST & W LYNHURST AVE,43.01522500000,-76.14106100000
85020,85020,66,9374,MatWriS2,Malden Rd & Wright Ave,,43.10442900000,-76.14104700000
84103,84103,66,1431,SsaKehSE,S.Salina St & Kenneth Ave,S SALINA ST & KENNETH AVE,42.97265000000,-76.14101600000
81083,81083,66,9466,GrenHils,Green Hills Plaza,,42.98335600000,-76.14098700000
82298,82298,66,10850,GreHilLM,Green Hills Plaza,,42.98335600000,-76.14098700000
81922,81922,66,10373,MaiLawNW,S Main St & Lawrence Ave,,43.12390300000,-76.14090600000
80268,80268,66,3640,EOL410S,S. Salina & E. Conklin Ave.,E CONKLIN AVE & S SALINA ST,42.97185400000,-76.14084400000
85991,85991,66,10317,MaiLawSE,S Main St & Lawrence Ave,,43.12390300000,-76.14082000000
85512,85512,66,17391,HenVabSE,Henry St & Van Buren St,,43.03741700000,-76.14070600000
81603,81603,66,438,JamLodNW,James St & Lodi St,,43.05628000000,-76.14059100000
80150,80150,66,6256,CotDarSW,Court St & Darlington Rd,,43.08154400000,-76.14056400000
84986,84986,66,11486,WadHilSE,Wadsworth St & Hillside St,,43.07859900000,-76.14051900000
80535,80535,66,14776,JmsLodSW,James St & Lodi St,,43.05625300000,-76.14051700000
82982,82982,66,11299,LodJamSW,Lodi St & James St,,43.05638700000,-76.14049200000
79671,79671,66,11752,SarHarSE,Sarah Loguen Rd & Harrison St,SARAH LOGUEN & HARRISON ST,43.04422100000,-76.14048600000
80973,80973,66,10121,SarLogNE,Sarah Loguen Bus Shelter,SARAH LOGUEN & E ADAMS ST,43.04303900000,-76.14045100000
84437,84437,66,10094,EraHenNE,E Raynor Ave & Henry St,,43.03582300000,-76.14040000000
80151,80151,66,6255,CotDarNX,Court St & Darlington Rd,,43.08171400000,-76.14039100000
81554,81554,66,7302,EglOttSW,E.Glen Ave & Otto St,E GLEN AVE & OTTO ST,43.00551100000,-76.14037300000
81555,81555,66,7304,EglSevNE,E.Glen Ave & Stevens Ave,E GLEN AVE & STEVENS AVE,43.00556500000,-76.14034900000
