YearBuilt,lat,lon,PNUMBR,DollarAmount,Program,Activity,TAXID,Full Address,,,,,,,,,
1900,-76.1933929,43.05135645,726203700,"75,000.00",HHQ - CDBG Redev REHAB,Rehabilitation,3.12E+25,313 Erie Street,,,,,,,,,
1915,-76.16267009,43.02457627,1268302900,"67,000.00",HHQ - CDBG Redev REHAB,Rehabilitation,3.12E+25,172 Parkway Drive,,,,,,,,,
1960,-76.15732699,42.99788957,1316005100,"60,000.00",HHQ - CDBG Redev REHAB,Rehabilitation,3.12E+25,204 Chaffee Avenue,,,,,,,,,
1910,-76.15149915,43.06989294,128001900,"75,000.00",HHQ - CDBG Redev REHAB,Rehabilitation,3.12E+25,807 First North Street,,,,,,,,,
1900,-76.13175968,43.05817906,652000900,"25,000.00",HHQ - CDBG Redev REHAB,Rehabilitation,3.12E+25,117 Lincon Park Drive,,,,,,,,,
1900,-76.10801032,43.05899648,539114700,"56,000.00",HHQ - CDBG Redev REHAB,Rehabilitation,3.12E+25,505 Hillsdale Avenue,,,,,,,,,
1930,-76.10221061,43.04621798,1779108500,"70,000.00",HHQ - CDBG Redev REHAB,Rehabilitation,3.12E+25,840 Salt Springs Road,,,,,,,,,
1900,-76.18192405,43.0464959,812003300,"50,000.00",HOME - CHDO,Rehabilitation,3.12E+25,222 Bryant Avenue,,,,,,,,,
,-76.15478339,43.03119816,1219000800,"150,000.00",HOME - CHDO,Rehabilitation,3.12E+25,414 Cortland Avenue,,,,,,,,,
1920,-76.14329578,43.01982418,1479001200,"32,378.00",HOME - CHDO,Rehabilitation,3.12E+25,"2850 S. Salina Street, Syracuse, New York 13205",,,,,,,,,
1915,-76.12464046,43.05529389,682001800,"61,500.00",HOME - CHDO,Rehabilitation,3.12E+25,"172 Sherwood Avenue Syracuse, New York 13203",,,,,,,,,
1920,-76.18726466,43.04789323,761000200,"75,000.00",HOME - PY38,Rehabilitation,3.12E+25,203 Milton Avenue,,,,,,,,,
1930,-76.18838928,43.04931617,761001800,"75,000.00",HOME - PY39,Rehabilitation,3.12E+25,307 Milton Avenue,,,,,,,,,
1952,-76.09998669,43.04883442,,"48,000.00",HOME - PY39,Rehabilitation,,210 Fayette Boulevard,,,,,,,,,
1900,-76.16473365,43.05792434,,"270,000.00",HOME,Rehabilitation,,410-412 West Onondaga Street,,,,,,,,,
1955,-76.12672711,43.04637107,,"200,000.00",HOME,Rehabilitation,,1530 E Genesee St,,,,,,,,,
1920,-76.14819864,43.03208989,,"275,000.00",HOME,Rehabilitation,,1445 S Salina St,,,,,,,,,
1930,-76.17131495,43.02984718,,"287,800.00",HOME,Rehabilitation,,407-409 Stolp Avenue,,,,,,,,,
1950,-76.14542192,43.0530426,,"300,000.00",HOME,Rehabilitation,,212 North Townsend Street,,,,,,,,,
1900,-76.16645516,43.03758095,1047006500,"3,398.05",CDBG,Rental Rehabilitation,3.12E+25,306 Kellogg St.,,,,,,,,,
1900,-76.16645516,43.03758095,1047006500,"18,635.00",CDBG,Rental Rehabilitation,3.12E+25,306 Kellogg Street,,,,,,,,,
0,-76.16592621,43.03607986,1022001200,"30,905.50",CDBG,Rental Rehabilitation,3.12E+25,136 Delaware St,,,,,,,,,
1890,-76.16565342,43.03618621,1040006800,"2,654.42",CDBG,Rental Rehabilitation,3.12E+25,339 Holland St.,,,,,,,,,
1900,-76.1644151,43.0329266,1207106500,"7,150.00",CDBG,Rental Rehabilitation,3.12E+25,705 Bellevue Ave.,,,,,,,,,
1900,-76.1644151,43.0329266,1207106500,"9,575.00",CDBG,Rental Rehabilitation,3.12E+25,705 Bellevue Ave.,,,,,,,,,
1900,-76.16013289,43.03525963,1242100400,"12,500.00",CDBG,Rental Rehabilitation,3.12E+25,121 Hudson St,,,,,,,,,
1920,-76.15774056,43.0292657,1219004500,"1,733.85",CDBG,Rental Rehabilitation,3.12E+25,542-544 Cortland Avenue,,,,,,,,,
1920,-76.15774056,43.0292657,1219004500,"7,659.43",CDBG,Rental Rehabilitation,3.12E+25,542-544 Cortland Avenue,,,,,,,,,
1910,-76.15760076,43.0341617,1252003600,723.05,CDBG,Rental Rehabilitation,3.12E+25,240 Lincoln Avenue,,,,,,,,,
1993,-76.15665966,43.03890848,1061000801,"8,048.53",CDBG,Rental Rehabilitation,3.12E+25,201 Midland Ave,,,,,,,,,
1888,-76.1565274,43.03601614,1289000200,"4,300.00",CDBG,Rental Rehabilitation,3.12E+25,507 Tallman St.,,,,,,,,,
1970,-76.15554302,43.03476777,1261001200,"1,176.96",CDBG,Rental Rehabilitation,3.12E+25,451 Midland Ave.,,,,,,,,,
,-76.15478339,43.03119816,1219000800,"61,712.19",CDBG,Rental Rehabilitation,3.12E+25,414 Cortland Ave.,,,,,,,,,
1920,-76.15467848,43.03134343,1219000700,"6,840.00",CDBG,Rental Rehabilitation,3.12E+25,410 Cortland Ave.,,,,,,,,,
1870,-76.15195665,43.02490263,1961104800,"1,800.00",CDBG,Rental Rehabilitation,3.12E+25,1412 Midland Ave,,,,,,,,,
1900,-76.15190007,43.02698592,1961101700,"4,277.66",CDBG,Rental Rehabilitation,3.12E+25,1219 MIdland Ave,,,,,,,,,
1930,-76.15039602,43.03294779,1856100800,"1,705.56",CDBG,Rental Rehabilitation,3.12E+25,124 Martin Luthr King W,,,,,,,,,
1930,-76.15039602,43.03294779,1856100800,"4,900.00",CDBG,Rental Rehabilitation,3.12E+25,124 Martin Luthr King W,,,,,,,,,
1930,-76.15030312,43.03311667,1856100700,"4,778.83",CDBG,Rental Rehabilitation,3.12E+25,118 Martin Luthr King W,,,,,,,,,
1930,-76.15030312,43.03311667,1856100700,"5,244.96",CDBG,Rental Rehabilitation,3.12E+25,118 Martin Luthr King W,,,,,,,,,
1930,-76.15030312,43.03311667,1856100700,"5,800.37",CDBG,Rental Rehabilitation,3.12E+25,118 Martin Luthr King W,,,,,,,,,
1920,-76.14839115,43.03236526,1879008005,"2,550.00",CDBG,Rental Rehabilitation,3.12E+25,1431 Salina St S,,,,,,,,,
1915,-76.14824392,43.01684723,1461002000,"14,600.00",CDBG,Rental Rehabilitation,3.12E+25,2323 Midland Ave.,,,,,,,,,
1940,-76.147719,43.03067909,1879009600,"12,044.27",CDBG,Rental Rehabilitation,3.12E+25,1555 Salina St S,,,,,,,,,
1970,-76.14739872,43.03091816,1847000100,"27,119.89",CDBG,Rental Rehabilitation,3.12E+25,107 Kennedy St E,,,,,,,,,
1900,-76.14657218,43.02404476,1995001500,"5,640.51",CDBG,Rental Rehabilitation,3.12E+25,148 Webster Ave,,,,,,,,,
1880,-76.14633744,43.028131,1810000100,668.59,CDBG,Rental Rehabilitation,3.12E+25,111 Borden Ave E,,,,,,,,,
1915,-76.14621603,43.02824038,1810000200,"15,571.62",CDBG,Rental Rehabilitation,3.12E+25,115-17 Borden Ave E,,,,,,,,,
1900,-76.14450687,43.02601751,1918000300,"2,891.40",CDBG,Rental Rehabilitation,3.12E+25,131 Colvin St,,,,,,,,,
1900,-76.14450687,43.02601751,1918000300,"5,958.77",CDBG,Rental Rehabilitation,3.12E+25,131 Colvin St E,,,,,,,,,
1900,-76.14449036,43.01973826,1450103000,"19,694.07",CDBG,Rental Rehabilitation,3.12E+25,144 Lafayette St W,,,,,,,,,
1920,-76.14405042,43.01915319,1450100800,"2,535.30",CDBG,Rental Rehabilitation,3.12E+25,133-35 Lafayette Ave W,,,,,,,,,
1920,-76.14405042,43.01915319,1450100800,"10,272.72",CDBG,Rental Rehabilitation,3.12E+25,133-35 Lafayette Ave W,,,,,,,,,
1927,-76.14389109,43.02696465,1986001500,"1,174.27",CDBG,Rental Rehabilitation,3.12E+25,1821 State St S,,,,,,,,,
1927,-76.14389109,43.02696465,1986001500,"2,800.00",CDBG,Rental Rehabilitation,3.12E+25,1817-21 State St S,,,,,,,,,
1927,-76.14389109,43.02696465,1986001500,"3,759.57",CDBG,Rental Rehabilitation,3.12E+25,1817 State St S,,,,,,,,,
1890,-76.14271634,43.02765739,1931002700,"21,549.27",CDBG,Rental Rehabilitation,3.12E+25,318 Garfield Avenue,,,,,,,,,
1945,-76.1072538,43.04866531,1727115300,"1,515.00",CDBG,Rental Rehabilitation,3.12E+25,2633 E. Fayette St.,,,,,,,,,
1970,-76.14739872,43.03091816,1847000100,"36,421.30",CDBG -40,Rental Rehabilitation,3.12E+25,107 Kennedy St E,,,,,,,,,
1930,-76.14433579,43.02905264,1805002900,"24,873.00",CDBG -40,Rental Rehabilitation,3.12E+25,226 Baker Ave.,,,,,,,,,
1925,-76.1484865,43.05681073,991004300,"64,256.62",CDBG,Reprogrammed 1% (36+38+39),3.12E+25,608 N. Townsend Street,,,,,,,,,
1920,-76.10444723,43.04961419,1781003500,"100,000.00",CDBG,Reprogrammed 1% (36+38+39),3.12E+25,418 Seeley Road,,,,,,,,,
1932,-76.10443684,43.0494945,1781003600,"75,000.00",CDBG,Reprogrammed 1% (36+38+39),3.12E+25,422 Seeley Road,,,,,,,,,
2009,-76.16324655,43.04634576,856001701,"120,000.00",CDBG,Special Housing Project,3.12E+25,317 Marcellus Street,,,,,,,,,
1915,-76.200126,43.05684062,762001900,20000,Lead,Syracuse Lead Project,3.12E+25,118 Morgan Ave,,,,,,,,,
